epic, name, current price (p), day change (p), day change (%)
CAPC,Capital & Counties Properties plc,102.90,+0.90,+0.88%
CAL,Capital & Regional plc,51.60,-1.20,-2.27%
CGT,Capital Gearing Trust plc,4,960.00,-70.00,-1.39%
CAPD,Capital Limited,95.00,+0.50,+0.53%
CNE,Capricorn Energy Plc,249.60,-3.20,-1.27%
CARD,Card Factory plc,77.10,+2.80,+3.77%
CCL,Carnival plc,696.60,-29.20,-4.02%
CARR,Carrs Group plc,117.00,-3.00,-2.50%
CCJI,CC Japan Income & Growth Trust plc,153.75,+1.25,+0.82%
CEY,Centamin plc,108.30,-0.20,-0.18%
CNA,Centrica plc,95.00,-0.54,-0.57%
CHG,Chemring Group plc,303.50,-6.00,-1.94%
CSN,Chesnara plc,290.50,-1.50,-0.51%
CHRY,Chrysalis Investments Limited,75.40,0.00,0.00%
CLIG,City of London Investment Group plc,430.00,0.00,0.00%
CTY,City Of London Investment Trust,408.00,-4.00,-0.97%
CSH,Civitas Social Housing plc,60.70,+1.70,+2.88%
CKN,Clarkson plc,3,105.00,-20.00,-0.64%
CBG,Close Brothers Group plc,1,094.00,+6.00,+0.55%
CLI,CLS Holdings plc,158.00,+0.60,+0.38%
CMCX,CMC Markets Plc,232.50,-3.50,-1.48%
COA,Coats Group plc,67.20,-0.10,-0.15%
CCH,Coca-Cola HBC AG,2,029.00,+14.00,+0.69%
CPG,Compass Group plc,1,875.00,+8.50,+0.46%
CCC,Computacenter plc,2,042.00,-2.00,-0.10%
GLO,ContourGlobal plc,251.00,+0.50,+0.20%
CTEC,ConvaTec Group Plc,232.40,+0.40,+0.17%
COST,Costain Group plc,41.30,+0.50,+1.23%
CYN,CQS Natural Resources Growth and Income plc,207.00,+4.00,+1.97%
NCYF,CQS New City High Yield Fund Ltd,51.40,+0.20,+0.39%
CWK,Cranswick plc,3,140.00,+52.00,+1.68%
CRST,Crest Nicholson Holdings plc,229.80,-2.80,-1.20%
CRH,CRH plc,3,285.00,+6.50,+0.20%
CRDA,Croda International plc,6,976.00,+54.00,+0.78%
CTPE,CT Private Equity Trust Plc,445.00,+4.00,+0.91%
CTPT,CT Property Trust Limited,71.80,+0.60,+0.84%
CTUK,CT UK Capital & Income Inv Trust plc,298.00,+0.50,+0.17%
CURY,Currys plc,77.30,+1.05,+1.38%
CREI,Custodian REIT plc,92.20,+0.80,+0.88%
CVCG,CVC Income & Growth Limited,89.80,-1.00,-1.10%
DARK,Darktrace plc,361.40,+5.60,+1.57%
DCC,DCC plc,4,392.00,-36.00,-0.81%
DLAR,De La Rue plc,76.80,-1.80,-2.29%
DPH,Dechra Pharmaceuticals plc,2,790.00,+12.00,+0.43%
DLN,Derwent London plc,2,360.00,+2.00,+0.08%
DVO,Devro plc,304.00,+2.00,+0.66%
DFS,DFS Furniture plc,154.80,+1.80,+1.18%
DGE,Diageo plc,3,847.00,+1.00,+0.03%
DTY,Dignity plc,371.50,+1.50,+0.41%
DPLM,Diploma plc,2,930.00,+10.00,+0.34%
DLG,Direct Line Insurance Group plc,206.80,-1.70,-0.82%
DSCV,DiscoverIE Group plc,833.00,-7.00,-0.83%
DIVI,Diverse Income Trust plc (The),91.10,+0.40,+0.44%
DEC,Diversified Energy Company Plc,124.40,-1.50,-1.19%
DOM,Domino's Pizza Group plc,295.20,+5.20,+1.79%
DORE,Downing Renewables & Infrastructure Trust plc,115.00,+1.50,+1.32%
DOCS,Dr Martens plc,208.40,-2.20,-1.04%
DRX,Drax Group plc,616.50,0.00,0.00%
DIG,Dunedin Income Growth Investment Trust plc,291.00,+0.50,+0.17%
DNLM,Dunelm Group Plc,1,022.00,+15.00,+1.49%
DWF,DWF Group Ltd,78.00,0.00,0.00%
EZJ,easyJet plc,391.50,+3.90,+1.01%
EGL,Ecofin Global Utilities & Infrastructure Trust plc,210.00,-4.00,-1.87%
EDIN,Edinburgh Investment Trust plc,633.00,-7.00,-1.09%
EWI,Edinburgh Worldwide Investment Trust,183.00,-1.40,-0.76%
EPIC,Ediston Property Investment Company plc,64.80,+0.60,+0.93%
ELM,Elementis plc,116.90,+0.70,+0.60%
ESP,Empiric Student Property plc,87.40,+0.40,+0.46%
EDV,Endeavour Mining plc,1,750.00,-6.00,-0.34%
ENOG,Energean,1,365.00,-124.00,-8.33%
ENQ,EnQuest plc,23.80,-0.55,-2.26%
ENT,Entain plc,1,397.50,-5.50,-0.39%
ESKN,Esken Limited,5.79,-0.30,-4.93%
ESNT,Essentra Plc,250.00,+1.50,+0.60%
EAT,European Assets Trust plc,93.80,+0.30,+0.32%
EOT,European Opportunities Trust plc,749.00,-7.00,-0.93%
EXPN,Experian Plc,2,967.00,+13.00,+0.44%
FCIT,F&C Investment Trust plc,928.00,0.00,0.00%
FDM,FDM Group plc,751.00,-9.00,-1.18%
FXPO,Ferrexpo plc,151.80,+3.40,+2.29%
FAS,Fidelity Asian Values plc,475.50,+0.50,+0.11%
FCSS,Fidelity China Special Situations PLC,225.00,+1.50,+0.67%
FEML,Fidelity Emerging Markets Limited,616.00,+0.60,+0.10%
FEV,Fidelity European Trust plc,322.50,-2.50,-0.77%
FJV,Fidelity Japan Trust plc,174.25,-0.50,-0.29%
FSV,Fidelity Special Values plc,275.00,-5.00,-1.79%
FGT,Finsbury Growth & Income Trust plc,873.00,+5.00,+0.58%
FGP,FirstGroup plc,104.00,-0.10,-0.10%
FLTR,Flutter Entertainment,12,030.00,-10.00,-0.08%
FSG,Foresight Group Holdings Ltd,390.00,+30.00,+8.33%
FSFL,Foresight Solar Fund Ltd,117.00,-2.40,-2.01%
FSF,Foresight Sustainable Forestry Company plc,106.00,-0.25,-0.24%
FORT,Forterra plc,204.00,+0.50,+0.25%
FOXT,Foxtons Group plc,31.95,+0.30,+0.95%
FRAS,Frasers Group plc,888.00,-7.50,-0.84%
FRES,Fresnillo,895.60,-7.60,-0.84%
FSTA,Fuller Smith & Turner,536.00,-4.00,-0.74%
FCH,Funding Circle PLC,63.00,+8.10,+14.75%
FUTR,Future plc,1,472.00,-14.00,-0.94%
GFRD,Galliford Try Holdings Plc,158.80,+0.20,+0.13%
GAW,Games Workshop Group,7,400.00,-30.00,-0.40%
GABI,GCP Asset Backed Income Fund Limited,83.30,+0.20,+0.24%
GCP,GCP Infrastructure Investments Ltd,97.90,-0.30,-0.31%
GEN,Genuit Group plc,322.00,-3.00,-0.92%
GNS,Genus plc,3,020.00,+50.00,+1.68%
CGEO,Georgia Capital Plc,755.00,-1.00,-0.13%
GLEN,Glencore plc,558.30,+1.60,+0.29%
GOT,Global Opportunities Trust plc,306.50,-1.50,-0.49%
GSF,Gore Street Energy Storage Fund plc,110.20,-0.40,-0.36%
GFTU,Grafton Group,795.50,+1.70,+0.21%
GRI,Grainger Plc,244.20,+2.40,+0.99%
GPE,Great Portland Estates,500.50,-2.00,-0.40%
UKW,Greencoat UK Wind plc,151.50,-1.30,-0.85%
GNC,Greencore Group plc,65.00,+1.20,+1.88%
GRG,Greggs Plc,2,384.00,+48.00,+2.05%
GSK,GSK plc,1,424.00,+8.60,+0.61%
GYM,Gym Group plc,105.00,+2.00,+1.94%
HLN,Haleon plc,291.45,-1.50,-0.51%
HFD,Halfords,198.40,+1.00,+0.51%
HLMA,Halma plc,2,249.00,+30.00,+1.35%
HMSO,Hammerson Plc,23.55,+0.49,+2.12%
HBR,Harbour Energy plc,312.60,-5.80,-1.82%
HVPE,Harbourvest Global Private Equity,2,280.00,-60.00,-2.56%
HL.,Hargreaves Lansdown plc,871.80,+19.20,+2.25%
HWG,Harworth Group plc,105.00,0.00,0.00%
HAS,Hays plc,120.40,+0.40,+0.33%
HEAD,Headlam Group plc,303.00,-6.00,-1.94%
HLCL,Helical plc,334.00,-6.00,-1.76%
HTWS,Helios Towers plc,118.10,+2.30,+1.99%
HDIV,Henderson Diversified Income plc,69.90,-0.10,-0.14%
HEFT,Henderson European Focus Trust plc,148.25,-0.75,-0.50%
HNE,Henderson Eurotrust plc,125.00,0.00,0.00%
HFEL,Henderson Far East Income Ltd,267.50,-3.00,-1.11%
HHI,Henderson High Income Trust plc,170.00,+0.25,+0.15%
HINT,Henderson International Income Trust plc,175.50,+0.50,+0.29%
HSL,Henderson Smaller Cos Investment Trust plc,842.00,-12.00,-1.41%
HRI,Herald Investment Trust plc,1,830.00,-14.00,-0.76%
HGT,HG Capital Trust plc,358.50,-14.00,-3.76%
HICL,HICL Infrastructure plc,163.00,-2.20,-1.33%
HIK,Hikma Pharmaceuticals,1,529.50,-12.00,-0.78%
HILS,Hill & Smith Plc,1,194.00,+8.00,+0.67%
HFG,Hilton Food Group Plc,539.00,+4.00,+0.75%
SONG,Hipgnosis Songs fund Ltd,83.40,-3.10,-3.58%
HSX,Hiscox Ltd,1,022.00,+0.50,+0.05%
HOC,Hochschild Mining Plc,72.45,+0.65,+0.91%
BOWL,Hollywood Bowl Group Plc,214.50,-0.50,-0.23%
HOME,Home REIT plc,52.90,+1.90,+3.73%
HSV,Homeserve plc,1,190.00,0.00,0.00%
HSW,Hostelworld Group plc,103.20,+1.80,+1.78%
HWDN,Howden Joinery Group Plc,596.80,-2.40,-0.40%
HSBA,HSBC Holdings plc,498.50,+0.60,+0.12%
HTG,Hunting plc,278.00,+6.50,+2.39%
HYVE,Hyve Group plc,64.20,+0.30,+0.47%
IBST,Ibstock plc,159.50,-1.40,-0.87%
ICGT,ICG Enterprise Trust plc,1,202.00,+6.00,+0.50%
IGG,IG Group Holdings Plc,820.50,-16.00,-1.91%
IMI,IMI plc,1,376.00,-11.00,-0.79%
IHR,Impact Healthcare REIT plc,103.80,0.00,0.00%
IEM,Impax Environmental Markets plc,427.00,-5.00,-1.16%
IMB,Imperial Brands Group,2,100.00,-6.00,-0.28%
INCH,Inchcape plc,836.50,-15.50,-1.82%
INDV,Indivior plc,1,720.00,+17.00,+1.00%
MLI,Industrials REIT Ltd,133.00,-5.50,-3.97%
INF,Informa plc,620.60,+1.20,+0.19%
IHP,Integrafin Holdings Plc,298.60,+3.60,+1.22%
IHG,InterContinental Hotels Group plc,4,782.00,-38.00,-0.79%
ICP,Intermediate Capital Group plc,1,243.00,-25.00,-1.97%
IBT,International Biotechnology Trust plc,701.00,-2.00,-0.28%
IAG,International Consolidated Airlines Group SA,134.12,+1.16,+0.87%
IDS,International Distributions Services Plc,234.50,+2.20,+0.95%
IPF,International Personal Finance Plc,78.00,+2.60,+3.45%
INPP,International Public Partnerships Limited,148.40,-2.20,-1.46%
ITRK,Intertek Group plc,4,130.00,+37.00,+0.90%
IAT,Invesco Asia Trust plc,330.50,+2.50,+0.76%
BIPS,Invesco Bond Income Plus Limited,165.75,+0.25,+0.15%
IPU,Invesco Perpetual UK Smaller Cos Inv Tst plc,432.00,+2.50,+0.58%
IVPU,Invesco Select Trust plc,164.00,+1.25,+0.77%
INVP,Investec Plc,485.10,+15.50,+3.30%
IPO,IP Group Plc,67.50,+0.20,+0.30%
ITV,ITV plc,76.06,+1.48,+1.98%
IWG,IWG plc,167.05,+2.25,+1.37%
JDW,J D Wetherspoon plc,447.60,+1.80,+0.40%
FSJ,James Fisher & Sons plc,332.75,-8.25,-2.42%
JD.,JD Sports Fashion plc,128.80,+0.80,+0.62%
JLEN,JLEN Environmental Assets Group Ltd,123.40,-1.20,-0.96%
JMAT,Johnson Matthey Plc,2,118.00,+31.00,+1.49%
JAM,JPMorgan American Investment Trust plc,719.00,-3.00,-0.42%
JAGI,JPMorgan Asia Growth and Income Plc,353.75,0.00,0.00%
JCGI,JPMorgan China Growth & Income Plc,330.00,+7.00,+2.17%
JCH,JPMorgan Claverhouse Investment Trust plc,708.00,-2.00,-0.28%
JMG,JPMorgan Emerging Markets Investment Trust plc,107.20,-0.40,-0.37%
JEDT,JPMorgan European Discovery Trust plc,410.00,-6.00,-1.44%
JEGI,JPMorgan European Growth & Income plc,87.60,-0.10,-0.11%
JARA,JPMorgan Global Core Real Assets Limited,97.90,+1.70,+1.77%
JEMI,JPMorgan Global Emerging Markets Income Trust plc,124.00,-0.50,-0.40%
JGGI,JPMorgan Global Growth & Income plc,433.00,-6.50,-1.48%
JII,JPMorgan Indian Investment Trust plc,870.00,+6.00,+0.69%
JSGI,JPMorgan Japan Small Cap Growth & Income Trust,336.50,-1.50,-0.44%
JFJ,JPMorgan Japanese Investment Trust plc,480.50,-5.50,-1.13%
JMF,JPMorgan Mid Cap Investment Trust plc,895.00,-3.00,-0.33%
JMI,JPMorgan UK Smaller Companies Investment Trust PLC,291.50,-1.50,-0.51%
JUSC,JPMorgan US Smaller Companies Investment Trust plc,402.00,-3.00,-0.74%
JTC,JTC Plc,804.00,-1.00,-0.12%
JUP,Jupiter Fund Management PLC,128.90,-0.40,-0.31%
JUST,Just Group plc,77.50,+0.40,+0.52%
KNOS,Kainos Group plc,1,638.00,+24.00,+1.49%
KLR,Keller Group,725.00,-16.00,-2.16%
KMR,Kenmare Resources plc,432.00,-3.50,-0.80%
KPC,Keystone Positive Change Investment Trust plc,216.75,-0.25,-0.12%
KIE,Kier Group plc,64.80,+0.70,+1.09%
KCT,Kin and Carta,235.00,-4.50,-1.88%
KGF,Kingfisher,249.40,+2.90,+1.18%
LRE,Lancashire Holdings,593.50,-12.50,-2.06%
LAND,Land Securities Group plc,621.80,+8.60,+1.40%
LWDB,Law Debenture Corporation plc,780.00,-3.00,-0.38%
LGEN,Legal & General Group plc,254.90,-0.40,-0.16%
LTI,Lindsell Train Investment Trust plc (The),1,052.50,+10.00,+0.96%
LIO,Liontrust Asset Management,1,122.00,-8.00,-0.71%
LLOY,Lloyds Banking Group plc,46.65,+0.53,+1.14%
LSEG,London Stock Exchange Group plc,8,272.00,+2.00,+0.02%
LMP,LondonMetric Property plc,181.40,+3.50,+1.97%
LOOK,Lookers Plc,80.80,-0.60,-0.74%
LWI,Lowland Investment Company plc,119.75,+1.75,+1.48%
LSL,LSL Property Services Plc,240.00,+2.00,+0.84%
LUCE,Luceco Plc,89.80,+2.20,+2.51%
LXI,LXI REIT plc,115.00,+1.20,+1.05%
MGCI,M&G Credit Income Investment Trust plc,92.60,0.00,0.00%
MNG,M&G plc,190.55,-0.65,-0.34%
MACF,MacFarlane Group plc,103.00,+0.50,+0.49%
MAJE,Majedie Investments plc,192.75,+0.25,+0.13%
EMG,Man Group plc,213.60,-3.10,-1.43%
MNL,Manchester & London Inv Tst plc,356.50,-2.00,-0.56%
MKS,Marks & Spencer Group plc,123.15,+0.60,+0.49%
MSLH,Marshalls Plc,288.80,0.00,0.00%
MARS,Marstons plc,38.90,+0.28,+0.73%
MNP,Martin Currie Global Portfolio Trust plc,310.00,+3.00,+0.98%
MEGP,ME Group International plc,104.50,+1.50,+1.46%
MER,Mears Group plc,191.00,+1.50,+0.79%
MGP,Medica Group plc,150.00,-2.50,-1.64%
MDC,Mediclinic International plc,495.20,-2.00,-0.40%
MRO,Melrose Industries plc,128.50,-2.00,-1.53%
MRC,Mercantile Investment Trust Plc,202.50,-1.00,-0.49%
MRCH,Merchants Trust plc,562.00,-3.00,-0.53%
MTRO,Metro Bank plc,95.10,-1.10,-1.14%
MCRO,Micro Focus International plc,522.00,-0.20,-0.04%
MWY,Mid Wynd International Investment Trust Plc,722.00,0.00,0.00%
MCT,Middlefield Canadian Inc - GBP PC,127.25,+0.50,+0.39%
MAB,Mitchells & Butlers Plc,144.20,+0.30,+0.21%
MTO,Mitie Group,76.00,+0.60,+0.80%
GLE,MJ Gleeson plc,370.00,-1.00,-0.27%
MMIT,Mobius Investment Trust plc,133.75,+1.75,+1.33%
GROW,Molten Ventures plc,407.40,-13.80,-3.28%
MNDI,Mondi Plc,1,557.50,+14.50,+0.94%
MONY,Moneysupermarket.Com,195.20,-1.50,-0.76%
MNKS,Monks Investment Trust plc,1,003.00,-3.00,-0.30%
MTE,Montanaro European Smaller Companies Trust plc,136.00,+0.70,+0.52%
MTU,Montanaro Uk Smaller Cos Investment Trust plc,113.00,-2.00,-1.74%
MOON,Moonpig Group Plc,163.10,+1.70,+1.05%
MGAM,Morgan Advanced Materials plc,306.50,+2.00,+0.66%
MGNS,Morgan Sindall Group Plc,1,620.00,-4.00,-0.25%
MOTR,Motorpoint plc,157.00,+3.50,+2.28%
MUT,Murray Income Trust plc,835.00,-10.00,-1.18%
MYI,Murray International Trust plc,1,334.00,-16.00,-1.19%
NANO,Nanoco Group Plc,41.00,-1.00,-2.38%
NEX,National Express,171.80,-0.70,-0.41%
NG.,National Grid,1,020.00,-5.00,-0.49%
NWG,NatWest Group plc,261.90,+4.50,+1.75%
NBMI,NB Global Monthly Income Fund Ltd,74.50,+0.20,+0.27%
NBPE,NB Private Equity Partners Ltd,1,595.00,-50.00,-3.04%
NCC,NCC Group plc,211.00,-3.50,-1.63%
NETW,Network International Holdings,356.00,+7.20,+2.06%
NRR,NewRiver REIT plc,83.50,+1.90,+2.33%
NXT,Next plc,5,834.00,+20.00,+0.34%
NESF,NextEnergy Solar Fund Ltd,110.60,-0.40,-0.36%
N91,Ninety One plc,192.00,+1.10,+0.58%
NXR,Norcros plc,186.50,+1.50,+0.81%
NAIT,North American Income Trust plc,310.50,-3.50,-1.11%
NAS,North Atlantic Smaller Cos Inv Tst plc,3,500.00,0.00,0.00%
OCDO,Ocado Group plc,670.40,+5.60,+0.84%
OCN,Ocean Wilsons Holdings Ltd,890.00,+10.00,+1.14%
ORIT,Octopus Renewables Infrastructure Trust plc,97.70,-1.70,-1.71%
OIT,Odyssean Investment Trust plc,175.00,-0.50,-0.28%
OTB,On The Beach Group plc,125.80,+1.20,+0.96%
OIG,Oryx International Growth Fund,1,060.00,+7.50,+0.71%
OSB,OSB Group plc,477.60,-6.00,-1.24%
OXB,Oxford Biomedica plc,400.50,-5.50,-1.35%
OXIG,Oxford Instruments plc,2,200.00,0.00,0.00%
PAC,Pacific Assets Trust plc,361.50,+1.50,+0.42%
PHI,Pacific Horizon Investment Trust plc,590.00,-3.00,-0.51%
PAGE,PageGroup plc,486.60,-1.60,-0.33%
PCA,Palace Capital plc,216.00,-2.00,-0.92%
PINT,Pantheon Infrastructure Plc,95.00,-0.60,-0.63%
PIN,Pantheon International Plc,274.50,-3.50,-1.26%
PAG,Paragon Banking Group plc,462.60,-1.80,-0.39%
PAY,Paypoint Plc,531.00,-7.00,-1.30%
PSON,Pearson plc,951.40,+7.80,+0.83%
PDG,Pendragon,27.90,-0.20,-0.71%
PNN,Pennon Group,944.00,+5.50,+0.59%
PSH,Pershing Square Holdings Ltd,2,940.00,-5.00,-0.17%
PSN,Persimmon plc,1,295.50,+10.50,+0.82%
PNL,Personal Assets Trust plc,482.00,-2.50,-0.52%
PHLL,Petershill Partners plc,179.20,-2.80,-1.54%
PDL,Petra Diamonds,92.00,+3.50,+3.95%
PFC,Petrofac,87.60,+6.50,+8.01%
PETS,Pets At Home Group PLC,271.60,+6.40,+2.41%
PHAR,Pharos Energy plc,25.75,+0.55,+2.18%
PHNX,Phoenix Group Holdings Plc,596.80,+5.80,+0.98%
PSDL,Phoenix Spree Deutschland Ltd,250.00,+1.00,+0.40%
PCTN,Picton Property Income Limited,84.60,-2.10,-2.42%
PTEC,Playtech plc,559.00,-3.50,-0.62%
PLUS,Plus500 Ltd,1,935.00,+3.00,+0.16%
PODP,Pod Point Group Holdings plc,60.00,-3.40,-5.36%
PCFT,Polar Capital Global Financials Trust plc,152.80,0.00,0.00%
PCGH,Polar Capital Global Healthcare Trust plc,330.50,+0.50,+0.15%
PCT,Polar Capital Technology Trust plc,1,912.00,-26.00,-1.34%
POLN,Pollen Street Plc,643.00,-7.00,-1.08%
PRV,Porvair plc,541.00,-5.00,-0.92%
PPH,PPHE Hotel Group Ltd,1,245.00,+10.00,+0.81%
PFD,Premier Foods plc,106.40,+1.60,+1.53%
PHP,Primary Health Properties plc,112.70,+2.10,+1.90%
PROC,ProCook Group plc,34.20,+0.70,+2.09%
PFG,Provident Financial plc,198.00,+2.20,+1.12%
PRSR,PRS REIT,87.50,+0.60,+0.69%
PRU,Prudential plc,1,030.50,+14.50,+1.43%
PRTC,Puretech Health plc,294.00,+7.50,+2.62%
PZC,PZ Cussons Plc,211.00,+0.50,+0.24%
QQ.,QinetiQ Group plc,347.40,-0.60,-0.17%
QLT,Quilter plc,101.35,+2.19,+2.21%
RNK,Rank Group,91.60,-2.00,-2.14%
RAT,Rathbones Group plc,2,085.00,-30.00,-1.42%
RCH,Reach plc,107.00,+1.40,+1.33%
RECI,Real Estate Credit Investments Ltd,130.50,-1.50,-1.14%
RKT,Reckitt Benckiser Group Plc,6,038.00,0.00,0.00%
REC,Record Plc,90.00,-2.00,-2.17%
REDD,Redde Northgate plc,374.00,-4.00,-1.06%
RDW,Redrow plc,467.80,-1.20,-0.26%
RGL,Regional REIT Ltd,59.50,-0.90,-1.49%
REL,RELX plc,2,337.00,+3.00,+0.13%
RWI,Renewi Plc,562.00,+6.00,+1.08%
RSW,Renishaw plc,3,850.00,+92.00,+2.45%
RTO,Rentokil Initial Plc,543.60,-0.60,-0.11%
